accurately,without mistakes,/ˈækjərətli/
after a while,after a period of time,/ˌɑːftər ə ˈwaɪl/
aim,a thing you want to be able to do in the future (SYN goal),/eɪm/
appropriate,right or suitable in a particular situation,/əˈprəʊpriət/
be aware of sth,know about sth,/əˈweə ͬ/
clear,easily seen and understood (SYN obvious),/klɪə ͬ/
complex,not simple; often difficult to understand (SYN complicated),/ˈkɒmpleks/
contain,to have something inside or include as a part (SYN include),/kənˈteɪn/
in detail,fully and including a lot of information,/ˈdiːteɪl/
effectively,in a way that gives you the result you want,/ɪˈfektɪvli/
encouragement,feeling of hope and will to to continue,/ɪnˈkʌrɪdʒmənt/
encouraging,sth which gives you hope and makes you want to continue,/ɪnˈkʌrɪdʒɪŋ/
enthusiastic,very interested in sth or excited by it,/ɪnˌθjuːziˈæstɪk/
everyday,normal or usual,/ˈevrideɪ/
expand,become bigger or make sth bigger,/ɪkˈspænd/
express sth,say or show what you think or feel,/ɪkˈspres/
fluent,able to speak a foregn language easily and well,/ˈfluːənt/
frustrating,making you annoyed because you cannot do sth you want to do,/frʌˈstreɪtɪŋ/
get better,become better (SYN improve, make progress),/ˌget ˈbetə ͬ/
goal,a thing you want to be able to do in the future (SYN aim),/gəʊl/
improve,become better (SYN get better; make progress),/ɪmˈpruːv/
in detail,fully and including a lot of information,/ˌɪn ˈdiːteɪl/
inappropriate,not right or insuitable in a particular situation,/ˌɪnəˈprəʊpriət/
include,to have something as a part (SYN contain),/ɪnˈkluːd/
irrelevant to sth,not useful or not connected to sth,/ɪˈreləvənt/
make progress,become better (SYN get better; improve),/ˌmeɪk ˈprəʊgres/
motivated,really want to do sth,/ˈməʊtɪveɪtɪd/
obvious,easily seen and understood (SYN clear),/ˈɒbviəs/
a wide range,a large number of different things,/reɪndʒ/
relevant to sth,useful for and connected to sth,/ˈreləvənt/
specialized,having or needing a lot of special knowledge,/ˈspeʃəlaɪzd/
after a while,after a period of time,/waɪl/
a wide range,large number of different things,/ˌwaɪd ˈreɪndʒ/
complicated,not simple; often difficult to understand (not complex),/ˈkɒmplɪkeɪtɪd/
