abbreviation,a short form of a word,/əˌbriːviˈeɪʃn/
alternative,one of two or more things that you can choose between,/ɔːlˈtɜːnətɪv/
apostrophe,symbol used in writing to show when a ​letter or a ​number has been left out,/əˈpɒstrəfi/
brackets,used to separate two or more words from other sentence and put them in group,/ˈbrækɪts/
capital letter,​letter of the ​alphabet in the ​form and ​larger ​size that is used at the beginning of sentences and names,/ˌkæpɪtl ˈletə ͬ/
colon,"symbol : used in writing, ​especially to ​introduce a ​list of things or a ​sentence or phrase taken from ​somewhere ​else",/ˈkəʊlɒn/
comma,"the ​symbol , used in writing to ​separate ​parts of a ​sentence ​showing a ​slight ​pause, or to ​separate the ​single things in a ​list",/ˈkɒmə/
connect sth,put two or more things together (SYN join sth),/kəˈnekt/
dash,the ​symbol – used to ​separate ​parts of a ​sentence,/dæʃ/
details,small pieces of information about sth,/ˈdiːteɪlz/
divide sth,keep people of things away from each other (SYN separate sb/sth),/dɪˈvaɪd/
exclamation mark,,/ˌekskləˈmeɪʃn ˌmɑːk/
full stop,the ​symbol . used in writing at the end of a ​sentence or at the end of the ​short ​form of a word,/ˌfʊl ˈstɒp/
hyphen,the ​symbol - used to ​join two words together or to show that a word has been ​divided into two ​parts,/ˈhaɪfən/
instead of sth,in the place of sth,/ɪnˈsted/
interrupt sth,occur in the middle of sth and stop it continuing,/ˌɪntəˈrʌpt/
join sth,put two or more things together (SYN connect sth),/dʒɔɪn/
leave sth out,don't include sth (SYN omit sth),/ˌliːv ˈaʊt/
letter,any of the set of ​symbols used to write a ​language,/letə ͬ/
like,used to introduce an example (SYN such as),/laɪk/
list,"a series of names, items, or numbers",/lɪst/
mark,a written or printed symbol,/mɑːk/
omit sth,don't include sth (SYN leave sth out),/əˈmɪt/
pause,a short period of time when sb stops talking,/pɔːz/
question mark,the ​symbol ? used in writing at the end of a phrase or ​sentence to show that it is a ​question,/ˈkwestʃn ˌmɑːk/
quotation marks,symbols “ ” or ‘ ’ that are put around a word or phrase to show that someone ​else has written or said it,/kwəʊˈteɪʃn ˌmɑːks/
semicolon,the ​symbol ; used in writing between two ​parts of a ​sentence,/ˌsemiˈkəʊlən/
separate sth,keep people or things away from each other (SYN divide sb/sth),/ˈsepəreɪt/
shopping list,list of things to buy,/ˈʃɒpɪŋ ˌlɪst/
slash,"the ​symbol / used in writing to ​separate ​letters, ​numbers, or words",/slæʃ/
small letters,letters of small size (OPP capital letters),/ˈsmɔːl ˌletəz/
such as,used to introduce an example (SYN like),/ˈsʌtʃ əz/
