absolutely,completely,/ˈæbsəluːtli/
amazed,very surprised (SYN astonished),/əˈmeɪzd/
anxious,worried and afraid,/ˈæŋkʃəs/
delighted,very happy and excited (SYN thrilled),/dɪˈlaɪtɪd/
emotion,feeling,/ɪˈməʊʃn/
emotional,"having strong feelings, and often showing them",/ɪˈməʊʃənl/
envious,"angryor sad because sb has sth you don't have (SYN jealous)",/ˈenviəs/
fed up,unhappy and depressed (SYN miserable),/ˌfed ˈʌp/
furious,very angry,/ˈfjʊəriəs/
heartbroken,very sad and emotinolly upset,/ˈhɑːtbrəʊkən/
hide your feelings,don't express your feelings openly,/ˌhaɪd jɔː ˈfiːlɪŋz/
hurt sb's feelings,say sth that makes sb unhappy,/ˌhɜːt ˌ... ˈfiːlɪŋz/
in a bad mood,feel angry or unhappy at a particular time,/ˌɪn ə ˌbæd ˈmuːd/
in a good mood,feel good and cheerfull at a particular time,/ˌɪn ə ˌgʊd ˈmuːd/
insensitive,not able to understand people's feelings and problems,/ɪnˈsensətɪv/
jealous,"1. angry or sad because you're afraid of losing sb's love, 2. angry or sad because sb has sth you don't have (SYN envious)",/ˈdʒeləs/
miserable,unhappy and depressed (SYN fed up),/ˈmɪzrəbl/
moody,you often change and become angry or unhappy for no obvious reason,/ˈmuːdi/
proud,pleased about sth you or other people have done,/praʊd/
scared stiff,very frightened (SYN terrified),/ˌskeəd ˈstɪf/
sensitive,"1. able to understand people's feelings and problems, 2. easily upset",/ˈsensətɪv/
show your feelings,express your feelings openly,/ˌʃəʊ jɔː ˈfiːlɪŋz/
stiff,firm or hard,/stɪf/
supportive,giving help to sb who has a problem,/səˈpɔːtɪv/
sympathetic,kind and showing you understand sb's problems,/sɪmpəˈθetɪk/
terrified,very frightened (SYN scared stiff),/ˈterɪfaɪd/
thrilled,very happy and excited (SYN delighted),/θrɪld/
upset,sad and angry because of sth that has happened,/ʌpˈset/
astonished,very surprised (SYN amazed),/əˈstɒnɪʃt/
mood,"the way you ​feel at a ​particular ​time",/muːd/
