apricot,/ˈeɪprɪkɒt/
artichoke,/ˈɑːtɪtʃəʊk/
asparagus,/əˈspærəgəs/
avocado,/ˌævəˈkɑːdəʊ/
basil,/ˈbæzl/
bass,/bæs/
beetroot,/ˈbiːtruːt/
broccoli,/ˈbrɒkəli/
calf,/kɑːf/
calf's liver,/ˈkɑːfs ˌlɪvə ͬ/
carp,/kɑːp/
celery,/ˈseləri/
chickpeas,/ˈtʃɪkpiːz/
clam,/klæm/
coconut,/ˈkəʊkənʌt/
cod,/kɒd/
crab,/kræb/
duck,/dʌk/
fennel,/ˈfenl/
fig,/fɪg/
grapefruit,/ˈgreɪpfruːt/
herbs,/hɜːbz/
kidney,/ˈkɪdni/
leek,/liːk/
liver,/lɪvə ͬ/
lobster,/ˈlɒbstə ͬ/
mint,/mɪnt/
mussel,/ˈmʌsl/
oyster,/ˈɔɪstə ͬ/
papaya,/pəˈpaɪə/
parsley,/ˈpɑːsli/
passion fruit,/ˈpæʃn ˌfruːt/
plum,/plʌm/
pomegranate,/ˈpɒmɪˌgrænɪt/
rabbit,/ˈræbɪt/
raspberry,/ˈrɑːzbəri/
rosemary,/ˈrəʊzməri/
salmon,/ˈsæmən/
sea bass,/ˈsiː ˌbæs/
shell,/ʃel/
spinach,"/ˈspɪnɪtʃ, -ɪdʒ/"
squid,/skwɪd/
stone,/stəʊn/
sweetcorn,/ˈswiːtkɔːn/
thyme,/taɪm/
trout,/traʊt/
veal,/viːl/
