-shaped,used as suffix to describe shape of thing,/ʃeɪpt/
blanket,"a ​flat ​cover made of ​wool or ​similar ​warm ​material, usually used on a ​bed",/ˈblæŋkɪt/
circular,"shaped like a ​circle",/ˈsɜːkjələ ͬ/
diagonal,"A diagonal ​line is ​straight and ​sloping, not ​horizontal or ​vertical",/daɪˈægənl/
horizontal,"parallel to the ​ground or to the ​bottom or ​top ​edge of something",/ˌhɒrɪˈzɒntl/
pointed,"A pointed ​object has a ​thin, ​sharp end or ​becomes much ​narrower at one end",/ˈpɔɪntɪd/
rectangular,shaped like a ​rectangle,/rekˈtæŋgjələ ͬ/
round,"shaped like a ​ball or ​circle, or ​curved",/raʊnd/
shape," the ​particular ​physical ​form or ​appearance of something",/ʃeɪp/
square,"a ​flat ​shape with four ​sides of ​equal ​length and four ​angles of 90°",/skweə ͬ/
straight,"continuing in one ​direction without ​bending or ​curving",/streɪt/
triangular,"shaped like a ​triangle",/traɪˈæŋgjələ ͬ/
vertical,"standing or ​pointing ​straight up or at an ​angle of 90° to a ​horizontal ​surface or ​line",/ˈvɜːtɪkl/

ladder,/ˈlædə ͬ/
gold,/gəʊld/
iron,/ˈaɪən/
metal,/ˈmetl/
plastic,/ˈplæstɪk/
rubber,/ˈrʌbə ͬ/
silver,/ˈsɪlvə ͬ/
steel,/stiːl/
wax,/wæks/
wood,/wʊd/
wool,/wʊl/
parallel,/ˈpærəlel/
concrete,/ˈkɒŋkriːt/
cardboard,/ˈkɑːdbɔːd/
woollen blanket,/ˈwʊlən ˈblæŋkɪt/
cardboard box,/ˈkɑːdbɔːd bɒks/
concrete bridge,/ˈkɒŋkriːt brɪdʒ/
wax candle,/wæks ˈkændl/
silver candlestick,/ˈsɪlvəͬˈkændlstɪk/
wooden fence,/ˈwʊdn fens/
metal ladder,/ˈmetl ˈlædə ͬ/
letter box,/ˈletə ˌbɒks/
gold medal,/gəʊld ˈmedl/
steel pipe,/stiːl paɪp/
iron railings,/ˈaɪən ˈreɪlɪŋz/
plastic toy,/ˈplæstɪk tɔɪ/
rubber tyre,/ˈrʌbə ͬˈtaɪə ͬ/
circle,/ˈsɜːkl/
curved,/kɜːvd/
oval,/ˈəʊvl/
rectangle,/ˈrektæŋgl/
point,/pɔɪnt/
triangle,/ˈtraɪæŋgl/
