Member of Parliament,politician with the most votes for some constituency,/ˌmembər əv ˈpɑːləmənt/
opposition,political party in parliament which is in minority,/ˌɒpəˈzɪʃn/
aim,a result that your plans or actions are intended to achieve (SYN goal),/eɪm/
announce sth,say sth officially and in public,/əˈnaʊns/
campaign,a plan to do a number of things with a specific aim,/kæmˈpeɪn/
consist of sth,be formed or made up of sth,/kənˈsɪst/
constituency,one ofthe areas into witch the country is divided for voting in political elections,/kənˈstɪtjuənsi/
elect,process of selection of politicians,/ɪˈlekt/
election,the time when people choose individuals to speak for them and act for them,/ɪˈlekʃn/
face sth,have to deal with a difficult situation,/feɪs/
focus on sth,give all your attention to sth,/ˈfəʊkəs/
goal,a result that your plans or actions are intended to achieve (SYN aim),/gəʊl/
govern,to control a country,/ˈgʌvn/
government,the group of people in control of a country,/ˈgʌvnmənt/
hold an election,to organise election,/ˌhəʊld ɪn ɪˈlekʃn/
immigrant,somebody who moved to another country to live there,/ˈɪmɪgrənt/
immigration,the process ofcoming to live in a country that is not your own,/ɪmɪˈgreɪʃn/
in power,in political countrol of the country,/ˌɪn ˈpaʊə ͬ/
launch sth,"start sth new, especially a compain or product",/lɔːntʃ/
majority,the largest number or part of sth,/məˈdʒɒrəti/
minority,the smallest number or part of sth,/maɪˈnɒrəti/
oppose sth,to disagree with something and try to change it,/əˈpəʊz/
opposition,group of people who disagree with current status quo,/ˌɒpəˈzɪʃn/
parliament,the group of people elected to make the laws in a country,/ˈpɑːləmənt/
persuade sb,give reasons to make sb agree,/pəˈsweɪd/
policy,"a plan to do sth, agreed by a government, company, etc",/ˈpɒləsi/
political party,"a group of people with the same ideas who want to win an election",/pəˌlɪtɪkl ˈpɑːti/
politician,a person whith a gob in politics,/ˌpɒləˈtɪʃn/
prime minister,the leader of the government in some countries,/ˌpraɪm ˈmɪnɪstə ͬ/
priority,a thing that is important or that you must do befor anything else,/praɪˈɒrəti/
represent,"to speak, act, or be present officially for another person or people",/ˌreprɪˈzent/
vote for sb,choose sb in an election,/vəʊt/
announcement,something said officially and in public,/əˈnaʊnsmənt/
