approach sth,come nearer to sth,/əˈprəʊtʃ/
beauty contest,a competition to see who is the most beautiful,/ˈbjuːti ˌkɒntest/
blossom,a flower or mass of flowers especially on fruit trees in spring,/ˈblɒsəm/
carnival,festival with people danicng and playing music in the streets,/ˈkɑːnɪvl/
community,all the people who live in an area or town,/kəˈmjuːnəti/
costume,special clothes,/ˈkɒstjuːm/
dress up,put on special clothes either for fun or for a formal event,/ˌdres ˈʌp/
entertainer,the people who intertain you,/ˌentəˈteɪnə ͬ/
entertainment,an activity that people enjoy watching and listening to,/ˌentəˈteɪnmənt/
festival,a day or days when people celebrate something,/ˈfestɪvl/
fireworks,objects that burn or explode in the sky with colours and noise,/ˈfaɪəwɜːks/
have fun,enjoy yourself,/ˌhæv ˈfʌn/
illuminate sth,make sth bright with light SYN light sth up,/ɪˈluːmɪneɪt/
light sth up,make sth bright with light SYN illuminate sth,/ˌlaɪt ˌ... ˈʌp/
mean a lot to sb,be very important to sb,/ˌmiːn ə ˈlɒt/
neighbourhood,an area of a town and the people who live there,/ˈneɪbəhʊd/
occasion,a time when sth happens,/əˈkeɪʒn/
parade,organazed event in which people move through the streets,/pəˈreɪd/
participate,become part of an activity SYN take part in sth,/pɑːˈtɪsɪpeɪt/
spectacular,"very impressive; large, beautiful, and often with lots of colour",/spekˈtækjələ ͬ/
striking,very attractive in a way that causes people to notice,/ˈstraɪkɪŋ/
take part in sth,become part of an activity SYN participate,/ˌteɪk ˈpɑːt ˌɪn/
throw sth,use your hand and arm to send an object through the air,/θrəʊ/
ton,a unit for measuring weight in Britain,/tʌn/
wild,exciting and enjoyable,/waɪld/
