annual,every year,/ˈænjuəl/
bank loan,money the bank lends and sb borrows,/ˈbæŋk ˌləʊn/
capital,the money you need to start a business,/ˈkæpɪtl/
cash flow,the movement of money into and out of a business,/ˈkæʃ ˌfləʊ/
cash flow problem,more money is going out than coming in,/ˈkæʃ ˌfləʊ ˌprɒbləm/
costs,expenses,/kɒsts/
drop,"decrease SYN fall, go down",/drɒp/
finance,the money somebody borrows or receives ot operate a business or the activity of managing money,/ˈfaɪnæns/
financial,related to money management,/faɪˈnænʃl/
fluctuate,moving around some level,/ˈflʌktʃueɪt/
fluctuation,process of moving around some level,/ˌflʌktʃuˈeɪʃn/
go down,"decrease SYN drop, fall",/ˌgəʊ ˈdaʊn/
go up,"make bigger SYN increase, rise, grow",/ˌgəʊ ˈʌp/
gradual,slow and over a long period of time,/ˈgrædʒuəl/
gradually,when something changes slowly over a long period of time,/ˈgrædʒuəli/
grow,"increase SYN go up, rise",/grəʊ/
growth,when something increases,/grəʊθ/
increase,"raise in size (SYN go up, rise, grow)",/ɪnˈkriːs/
inflation,a general rise in the price of services and goods in a particular country,/ɪnˈfleɪʃn/
interest,extra money you pay when you borrow money,/ˈɪntrəst/
interest rate,exact cost of borrowing money,/ˈɪntrəst ˌreɪt/
loss,have a negative balance after paying costs,/lɒs/
make a profit,have a positive balance after paying costs,/ˌmeɪk ə ˈprɒfɪt/
operating costs,the amount of money that a business needs to spend to continue as a business,/ˈɒpəreɪtɪŋ ˌkɒsts/
peak,maximum value,/piːk/
pre-tax,before paing tax,/ˌpriː ˈtæks/
profit,the money you make in a business after paying costs,/ˈprɒfɪt/
raise capital,to find the money you need,/ˌreɪz ˈkæpɪtl/
remain unchanged,"keep the same value SYN stay the same, stable",/rɪˌmeɪn ʌnˈtʃeɪndʒd/
revenue,income,/ˈrevənjuː/
rise,"make bigger SYN increase, go up, grow",/raɪz/
sales revenue,the total value of goods or services that a company sells in a particular period of time (SYN turnover),/ˈseɪlz ˌrevənjuː/
sharp,very large and sudden,/ʃɑːp/
significant,considerable in amount,/sɪgˈnɪfɪkənt/
slight,a bit,/slaɪt/
stability,without much change,/stəˈbɪləti/
stable,"keep the same value SYN remain unchanged, stay the same",/ˈsteɪbl/
stay the same,"keep the same value SYN remain unchanged, stable",/ˌsteɪ ðə ˈseɪm/
steady,slow but regular and continuing,/ˈstedi/
stock,part of the ownership of the company,/stɒk/
take out,obtain,/ˌteɪk ˈaʊt/
tax,money you have to pay to the government,/tæks/
trend,the general direction in which a situation is changing,/trend/
turnover,the total value of goods or services that a company sells in a particular period of time (SYN sales revenue),/ˈtɜːnəʊvə ͬ/
fall,"decrease SYN drop, go down",/fɔːl/
