adequate,"sufficient, good enough",/ˈædɪkwət/
asset,a thing of value that a person or company owns,/ˈæset/
brand,the name under which one or more products are sold,/brænd/
break even,not make a profit or a loss,/ˌbreɪk ˈiːvn/
company,organisation,/ˈkʌmpəni/
competitor,a person or company that competes with another SYN rival,/kəmˈpetɪtə ͬ/
effort,a period of action to achieve sth difficult SYN struggle,/ˈefət/
employ sb,give sb a job,/ɪmˈplɔɪ/
fail,be unable to continue SYN go out of business,/feɪl/
gain sth,obtain sth,/geɪn/
go out of business,be unable to continue SYN fail,/ˌgəʊ ˌaʊt əv ˈbɪznəs/
employee,sb who works for sb,/ɪmˈplɔɪiː/
goods,things that are made to be sold,/gʊdz/
grow,to increase,/grəʊ/
growth,the process of increasing in size or number,/grəʊθ/
inadequate,"not sufficient, not good enough",/ɪnˈædɪkwət/
leader,sb with the best results,/ˈliːdə ͬ/
lose sth,stop having sth,/luːz/
employer,is sb who provides job,/ɪmˈplɔɪə ͬ/
market leader,the company with the biggest share of a market,/ˌmɑːkɪt ˈliːdə ͬ/
market research,the study of what people want to buy and why,"/ˌmɑːkɪt rɪˈsɜːtʃ, ˈriːsɜːtʃ/"
over-ambitious,too sure in own ability,/ˌəʊvər æmˈbɪʃəs/
over-optimistic,overestimate situation,/ˌəʊvər ɒptɪˈmɪstɪk/
overcharge,to withdraw too much money,/ˌəʊvəˈtʃɑːdʒ/
overestimate,to be too optimistic about sth,/ˌəʊvərˈestɪmeɪt/
reputation,the opinion that people have about sth,/ˌrepjuˈteɪʃn/
research (market research),,"/rɪˈsɜːtʃ, ˈriːsɜːtʃ/"
risk,the possibility that sth bad may happen in the future,/rɪsk/
risky,when sth is likely to end up bad,/ˈrɪski/
rival,a person or company that competes with another SYN competitor,/ˈraɪvl/
set up a business,start a business,/ˌset ʌp ə ˈbɪznəs/
share,a part of sth that has been divided,/ʃeə ͬ/
shares,units of equal value that a company is divided into and which are then sold to raise money,/ʃeəz/
struggle,a period of action to achieve sth difficult SYN effort,/ˈstrʌgl/
supplier,a company that provides sth for another company,/səˈplaɪə ͬ/
survive,continue to exists in difficult situation,/səˈvaɪv/
take over,take control of another company,/ˌteɪk ˈəʊvə ͬ/
underestimate,estimate to be smaller or less important than it is,/ˌʌndərˈestɪmeɪt/
supply,to provide sth to another company,/səˈplaɪ/
takeover,the process of taking control of another company,/ˈteɪkəʊvə ͬ/
